query,dish_name
chicken spicy,Spicy Chicken Pops
want to try chicken,Mc Crispy Chicken Burger + McSpicy Chicken Wings - 2 pc + Coke (M)..
kuch chicken chahiye,Chicken Golden Delight Cheese Burst
Coromandel Sipper- 500 Ml,Coromandel Sipper- 500 Ml
blonde wala,Blonde Almond Flat White
desserts & beverages,Dew Mojito Reusable Bottle
prawn curry,Prawn malai curry
masala like something,Bhindi masala
mccheese chicken burger protein plus 4 pc chicken nuggets+ coke zero,McCheese Chicken Burger Protein Plus + 4 Pc Chicken Nuggets+ Coke Zero
roll chicken tangy,Korean Tangy Chicken Roll
evolved spicy,Raw Banana And Evolved Plant Based Kofta Biryani
mexican something,Mexican Grilled Chicken & Cheese Burger Combo (M)
McSpicy Deluxe Chicken Burger Combo,McSpicy Deluxe Chicken Burger Combo
[Multigrain] Pizza Pepperoni Chicken,Chicken Pepperoni Pizza [Multigrain]
party for 2 (veg) @rs. 75,Party for 2 (Veg) @Rs. 75 off
something like kuzhambu,Kuzhambu
tandoori wala,Tandoori Tangdi (3Pcs)
saaag,Saag Wala Chicken - Light Meal
[10 tikka paneer angara,Angara Paneer Tikka [10 Pcs]
peri grilled chicken wings [50g protein],Peri Peri Grilled Chicken Wings [50g Protein]
karnataka food,Dosa
(jain) coconut,Coconut Rice (jain)
something like paneer,Spiced Paneer
spinach ultimate,Ultimate Spinach Pizza
everyday wala,Saag Wala Chicken - Everyday Thali
veg pizza mcpuff choco crunch cookie + americano,Veg Pizza McPuff + Choco Crunch Cookie + Americano
spcy everyday,Sunday Paneer Curry - Everyday Thali
kuch extra chahiye,Extra Momo Chutney
protein grilled wefit,Tandoori Grilled Paneer Tikka [46g Protein]
steamed rice,Punjabi Style Matar Paneer Steamed Rice Bowl
chicken spicy,Butter Chicken Mughal Biryani
tandoori chicken tikka [65g protein],Tandoori Grilled Chicken Tikka [65g Protein]
kuch mushroom chahiye,Four Cheese Spinach Mushroom Pizza
mcspicy wala,McSpicy Premium Burger Veg Combo
spicy chhena,Chhena jalebi
burger patty tikki mcaloo,McAloo Tikki Double Patty Burger
[500g],Eggless Rich Chocolate Cake [500g]
food indian east north,Black rice
veg farsi,Farsi Puri
hashbrown wala,Chicken Surprise Burger + Hashbrown
caramel ice cream,Salted Caramel Ice Cream
dhal try karna hai,Dhal Fry
dal makhani light meal + aloo matar masa...,Butter Dal Makhani Light Meal + Aloo Matar Masa...
Sausage McMuffin + Hashbrown,Sausage McMuffin + Hashbrown
meetha kumol,Kumol Sawul
butter lunch,Paneer butter masala
kuch chicken chahiye,Chicken Zinger Burger - Classic
amaranth wala,Amaranth Parfait
Flat White,Flat White
Mocha,Mocha
mcveggie wala,McVeggie Burger Combo
pani try karna hai,Pani puri
schweppes bottle,Schweppes Water bottle
grilled chicken cheese burger + coke (m).,Mexican Grilled Chicken Cheese Burger + Coke (M).
biryani try karna hai,Veg Family Bucket Biryani
veggie sandwich,Veggie Delite Sandwich
course main light,Koldil Duck
free like something,Pepper Roasted Oyster Mushroom ( Gluten Free )
attu try karna hai,Attu
something strawberry,Strawberry Green Tea (S)
something protein],BBQ Grilled Chicken Wings [50g Protein]
duttch,Dutch Chocolate Ice Cream (Regular Scoop)
garlic bread with pepperoni,Stuffed Garlic Bread with Pepperoni
sandwich like something,Grilled Paneer Power Sandwich [30g Protein]
paneer with something,Paneer butter masala
chapati dinner,Chapati
pind special paneer rice bowl + 3 samosas,Pind Special Paneer Rice Bowl + 3 Mini Samosas
kuch mexican chahiye,Mexican Grilled Chicken & Cheese Burger Combo (M).
mozzarella wala,Fried Chicken & Mozzarella Wrap
Spicy Baked Chicken Wings 4pc,Spicy Baked Chicken Wings 4pc
something frappuccino,Espresso Frappuccino
Black Palm Jaggery Latte,Black Palm Jaggery Latte
thalipeeth dinner,Thalipeeth
spicy califorinan,Roasted Californian Almond Ice Cream (Small Scoop)
something like nizami,Nizami Kheer
mcegg burger protein plus 4 pc chicken nuggets + coke zero,McEgg Burger Protein Plus + 4 Pc Chicken Nuggets + Coke Zero
bowl dum egg,Egg Dum Biryani Bowl
big try karna hai,Big Big 6in1 Pizza – Veg Cheezilla
bowl,Mughlai Falafel Rice Bowl
kuch trifle chahiye,Chocolate & Raspberry Trifle Cake
chicken wala,Sunday Chicken Curry - Light Meal
khichdi banao,Andhra Gun Powder Khichdi
chicken something,Creamy Chicken Tikka Mini Rice Bowl
goja mithai,Goja
something like moong,Ghee Moong Dal Halwa [500 gm]
forbidden black rice,Black rice
hummus & bell pepper,Hummus & Bell Pepper Wrap
pizza something,Big Big 6in1 Pizza - Non Veg
spicy khichdi,Khichdi
italian pork pepperoni cheese bread,Italian Pork Pepperoni Cheese Garlic Bread
(regular spicy,Cotton Candy Ice Cream (Regular Scoop)
Naughty Nutella Ice Cream (Tub),Naughty Nutella Ice Cream (Tub)
light like something,Homestyle Yellow Dal - Light Meal
all chicken,All Chicken Box
pizza wala,Pizza Puff (Pack of 4)
mccrispy spicy,McCrispy Chicken Burger Protein Plus (2 Slices)
bounty wala,Bounty
misi wala,Misi roti
noodles something,Veg Hakka Noodles Bowl.
hot & crispy chicken & wings,Hot & Crispy Chicken - 6 pcs
cookies banao,Cookies 'N Cream Ice Cream (Tub)
teekha kuzhakkattai,Kuzhakkattai
spicy steamed,NH1 Special Aloo Palak Steamed Rice Bowl
want to try midnight,Midnight Spicy Zinger & Popcorn Meal
yellow dal,Yellow Dal Tadka
Oreo Sundaae ( M ),Oreo Sundae ( M )
wraps & burgers,Mexican McAloo Tikki Burger
something like noodles,Veg Hakka Noodles Bowl.
tikkas and kebabs,Chicken Seekh Kebab
goodness banao,Veggie Goodness Sandwich [14g Protein]
something like makhani,Paneer Makhani Family Bucket Biryani
something zinger,Zinger Pro Burger
& rocket feta pizza,Broccoli & Rocket Feta Pizza
mooong khichdi + curd + pickle + papad,Moong Dal Khichdi + Curd + Pickle + Papad
spicy paratha,Paratha
chicken like something,Chicken Longer Burger & 2 Strips Combo
2 pc paty,2 pc Veg Patty
reusable mirinda,Mirinda Reusable Bottle
& crispy chiicken - 1 pc,Hot & Crispy Chicken - 1 pc
Bottle Reusable Dew Mountain,Mountain Dew Reusable Bottle
curry something,Andhra Chicken Curry Rice Bowl
tukra mithai,Shahi tukra
meal veg,Veg Box Meal
kuch vegetables chahiye,Roast Vegetables Mini Rice Bowl
veg puri,Pani puri
"spicy protein,","Paneer Keto Salad [31g Protein, 527 Kcal]"
protein] try karna hai,Paneer Peri Peri Keto Bowl [52g Protein]
Coca Cola Bottle (475 mL),Coca Cola Bottle (475 mL)
mayo banao,Mayo Dip
(jain) rice,Coconut Rice (jain)
starter like something,Any Rice Bowl + Any Starter [FREE Choco Lava De...
butter,Butter Chicken Mini Rice Bowl
tukra sweet,Shahi tukra
pizza,Chicken Golden Delight Pizza
sweet petha,Petha
regular,Chicken Popcorn - Regular
veg chole,Chole bhature
something hellboy,The Hellboy Pizza
gt,GT Road Paneer Mughlai [Steamed Rice] Bowl
dessert light,Chak Hao Kheer
cotton ice cream rockks,Cotton Candy Ice Cream Rocks
box pizza corn cheesy,Cheesy Mania Corn Pizza Box
kabiraji dinner,Kabiraji
curry banao,Egg Curry and Rajma Meal
candy ice cream (regular scoop),Cotton Candy Ice Cream (Regular Scoop)
something chatpata,2 x Chatpata Chana Veg Burger & Fries combo
kuch (boneless) chahiye,Mutton Kofta Biryani Bowl (Boneless)
Rasgulla Mango,Mango Rasgulla
coke can (6,Coke Can (6 Nos)
Crispy Veggie Burger + McVeggie Burger + Fries (M),Crispy Veggie Burger + McVeggie Burger + Fries (M)
[40g salad peppy chicken,Chicken Peppy Salad [40g Protein]
mcspicy premium veg burger protein plus (1,McSpicy Premium Veg Burger Protein Plus (1 Slice)
something like sandwich,Chilli Bean Patty Sandwich
cofffee,McCafe-Ice Coffee
spicy sandwich),Hugo (Fried Chicken & Mozza Sandwich)
something like (10cm),Classic Veggie Craver (10cm)
chocolate,Chocolate Fudge Brownie
pizza paratha cheese n,Corn n Cheese Paratha Pizza
meetha pindi,Pindi Chole Mini Rice Bowl
chicken pesto pasta,Herbed Chicken Pesto Pasta
ferrero,Ferrero Moments Mousse Ice Cream
bowl rice signature kheema,Mutton Kheema Signature Rice Bowl
(tub) gelato candy cotton,Cotton Candy Burst Gelato (Tub)
peri peri tikka [10 pcs],Peri Peri Aloo Tikka [10 Pcs]
lauki ki,Lauki ki subji
kuch tikka chahiye,Classic Chicken Tikka Biryani Bowl
coconut sweet,Coconut vadi
half try karna hai,Half &Half Large Pizza
kuch pantua chahiye,Pantua
spicy genovese,Lunch Box - Al Pesto Genovese Pasta
truffled banao,Stuffed Garlic Bread With Truffled Oyster Mushroom
sweetts,Shankarpali
Splish Splash Ice Cream (Small Scoop),Splish Splash Ice Cream (Small Scoop)
scoop),Blueberry 'N White Chocolate Ice Cream (Small Scoop)
something [paratha],Model Town Kadhai Chicken [Paratha] Bowl
spicy makhani,Paneer Makhani Family Bucket Biryani
protein something,Sausage McMuffin Protein Plus
kuch cheese chahiye,Italian Chicken Pepperoni Cheese Garlic Bread
smoky,Smoky Red Grilled Chicken - 1 pc
[paratha] try karna hai,Dal Tadka Dhaba Style [Paratha] Bowl
very berry strawberry ice cream.(small,Very Berry Strawberry Ice Cream.(small Scoop)
truffled try karna hai,Stuffed Garlic Bread With Truffled Oyster Mushroom
naughty nutella ice cream,Naughty Nutella Ice Cream (Tub)
Peri Peri Grilled Chicken Wings [50g Protein],Peri Peri Grilled Chicken Wings [50g Protein]
dhaba style yellow tadka and aloo tamatar meal,Dhaba Style Yellow Dal Tadka and Aloo Tamatar Meal
chicken something,Andhra Style Chicken Biryani
Punjabi Choole - Light Meal,Punjabi Chole - Light Meal
americano,Blonde Americano
biryani mughal chicken chef's,Chef's Special Chicken Mughal Biryani
mcaloo something,McAloo Tikki Burger + Cold Coffee
spicy chicken,Mc Crispy Chicken Burger + Mexican Cheesy Fries
grilled paneer power [30g protein],Grilled Paneer Power Sandwich [30g Protein]
kuch chicken chahiye,Ghee Roast Chicken Rice Bowl
Chicken Biryani Bowl + Thums Up Combo,Chicken Biryani Bowl + Thums Up Combo
berry me in cheesecake sundae,Berry Me In Cheesecake Gelato Sundae
veg puri,Puri Bhaji
bilahi like something,Bilahi Maas
Chicken Fried Rice - Half (500 ml).,Chicken Fried Rice - Half (500 ml).
bucket,All in One Chicken Bucket
mcflurry something,Mcflurry Oreo ( S )
kuch kabiraji chahiye,Kabiraji
2) of jamun gulab,Gulab Jamun (Pack Of 2)
chaval wala,Rajma chaval
paneer & capsicum with videshi sauce,Paneer & Capsicum with Videshi Hot Sauce
gelato cheesecake blueberry,Blueberry Cheesecake Gelato (Tub)
rasgulla wala,Rasgulla (2 pcs)
lemonade banao,Masala Lemonade [200 ml]
pepsi try karna hai,Pepsi Black Can 300 ml
something poriyal,Curd And Poriyal Rice Bowl
nizami,Nizami Kheer
paneer masala - light,Paneer Masala - Light Meal
italian pork cheese garlic bread,Italian Pork Pepperoni Cheese Garlic Bread
piece],Eggless Rich Chocolate Pastry [1 Piece]
chicken tikka masala,Chicken Tikka Masala Biryani
jalebi banao,Jalebi
veg kakinada,Kakinada khaja
sppicy schezwan,Extra Schezwan Dip
meetha hashbrown,Veg McMuffin + Hashbrown
want to try chicken,Penne McN Cheese & Chicken Pasta
[multigrain] pizza deluxe,Deluxe Veggie Pizza [Multigrain]
mcspicy wala,Burger Combo for 2: McSpicy Deluxe Paneer Burger
(r) try karna hai,McAloo Tikki Burger + Veg Pizza McPuff + Fries (R)
chole rice bowl,Amritsari Chole Rice Bowl
korean try karna hai,Korean Sweet Chilli Dip
chicken wala,Triple Chicken Feast
something vietnamese,Vietnamese Style Iced Coffee
masala lunch,Chana masala
course main east north,Bengena Pitika
kuch -strawberry chahiye,Coolberg Non Alcoholic Beer -Strawberry (330 Ml)
shahi chicken - everyday tali,Shahi Chicken - Everyday Thali
Chicken Zinger Burger - Tandoori,Chicken Zinger Burger - Tandoori
meetha paradise,Veggie Paradise Cheese Burst
dinner matar,Mushroom matar
Punjabi Lassi [200 ml],Punjabi Lassi [200 ml]
methi spicy,Methi na Gota
matar try karna hai,Mom Style Aloo Matar - Light Meal
kuch poriyal chahiye,Keerai poriyal
piiri,Piri Piri Spice Mix
mushroom wala,Mushroom Masala
cappuccino with hazelnut,Cappuccino Small with Hazelnut
something like spinach,Spinach & Ricotta Ravioli (7 pieces)
shake,Chocolate  Shake
ve),Mini Bowl Meal Combo (Non Veg)
meetha chawal,Chole Chawal Mini Bowl + Rajma Chawal Mini Bowl
butterscotch wala,Hop Scotch Butterscotch Ice Cream (Family Prepack 450 Ml)
something like meal:,5 Course Meal: Veg Loaded Pizza
pindi spicy,Pindi chana
masaledar kothamali,Kothamali sadam
something mcaloo,McAloo Tikki Burger NONG
something like tikka,Paneer Tikka Sandwich
something like double,Double ka meetha
slices),McAloo Tikki Burger Protein Plus (2 Slices)
chicken something,Rice & Chicken Popcorn Delight Meal
Banana 'N Strawberry Ice Cream,Banana 'N Strawberry Ice Cream
bowl [masala chicken homestyle,Homestyle Chicken [Masala Rice] Bowl
mushroom pyaza,Mushroom do pyaza
chokha Litti,Litti chokha
bowl rice tikka,Paneer Tikka Rice Bowl
pepper garlic wings [6 pcs],Pepper Garlic Chicken Wings [6 Pcs]
pc 3 mcmuffin veg,Veg McMuffin 3 Pc Meal
want to try chocoholic,Chocoholic Cake [500g]
cotton candy gelato (tub),Cotton Candy Burst Gelato (Tub)
burger combo for 2: mcspicy chicken,Burger Combo for 2: McSpicy Chicken Burger
chilli,Chilli Chicken Bowl
Stix Bread Classic,Classic Bread Stix
(r) fries tikki mcaloo,McAloo Tikki + Fries (R)
makhani spicy,Malai Makhani Kofta Rice Bowl + Gulab Jamun
want to try stuffed,Corn And Cheese Stuffed Garlic Bread
everyday spicy,Sunday Chicken Curry - Everyday Thali
townhall's something,Townhall's Kadhai Paneer [Steamed Rice] Bowl
roasted coffee creme ice,Roasted Coffee Creme Ice Cream
sommething coconut,Tender Coconut Ice Cream
vegetarian meetha,Qubani ka meetha
peach spicy,Peach Iced Tea
spicy paneer,Paneer Masala - Light Meal
maach jhool,Maach Jhol
dip chilli sweet,Extra Sweet Chilli Dip
pcs] [6 wings dhuadhaar,Dhuadhaar Chicken Wings [6 Pcs]
cream(family spicy,Honey Nut Crunch Ice Cream(family Prepack)
pitha sweet,Til Pitha
all chicekn,All Chicken Box
meetha sattu,Sattu ki roti
Chicken Fried Rice Bowl.,Chicken Fried Rice Bowl.
kuch good'ol chahiye,Good'ol Butter Chicken Rice Bowl
chicken spicy,Chicken Fried Rice Bowl.
tomato ketchup,Tomato Ketchup Sachet
want to try sandwich,B.M.T Sandwich
something mayo,Falafel Nuggets with Mayo Dip
want to try farmhouse,Farmhouse Cheese Burst
something like burger,Grilled Chicken & Cheese Burger + Coke
north indian dish,Gajar ka halwa
"paneer keto salad protein, 527 kcal]","Paneer Keto Salad [31g Protein, 527 Kcal]"
light main course,Lauki ki subji
bavarian chocolate cream (regular scoop),Bavarian Chocolate Ice Cream (Regular Scoop)
kos dinner,Kos kootu
veg sawul,Bora Sawul
vegetarian pitika,Bengena Pitika
pepsi black can 300,Pepsi Black Can 300 ml
banana 'n strawberry ice crem (small,Banana 'N Strawberry Ice Cream (Small Scoop)
want to try mcveggie,Crispy Veggie Burger + McVeggie Burger + Fries (M)
mcspicy premium veg burger protein plus + + coke zero,McSpicy Premium Veg Burger Protein Plus + Corn + Coke Zero
mom,Mom Style Aloo Matar - Feast Thali
raseela wala,Mutter Poori With Aloo Raseela ( No Onion / Garlic )
biryani dum hyderabadi half,Half Hyderabadi Paneer Dum Biryani
fanta spicy,Fanta 475ml
baked chicken wings 4pc,BBQ Baked Chicken Wings 4pc
pasta chicken forest,Forest Chicken Arrabbiata Pasta
something chicken,Chicken Peri Peri Tikka
sweet like something,Sweet Potato Mochi ( Gluten Free)
homestyle yellow dal light mel,Homestyle Yellow Dal - Light Meal
paneer makhni biryani,Paneer Makhni Mughal Biryani
2 medium chicken popcorn,2 x Medium Chicken Popcorn
pig out piza,Pig Out Pizza
daal churma,Daal baati churma
tandoori dip - 20 gm,Tandoori Flavour Dip - 20 gm
spicy paneer,Shahi Paneer - Feast Thali
pcs] [10 paneer angara,Angara Paneer Tikka [10 Pcs]
korean something,Korean Shake Shake Fries (M).
moroccan mint tea (r ),Moroccan Mint Green Tea (R )
pizza mushroom spinach four,Four Cheese Spinach Mushroom Pizza
townhall's,Townhall's Kadhai Paneer [Masala Rice] Bowl
beetroot cheese chops ( vegan,Beetroot Cheese Chops ( Vegan )
something like kofta,Veg Kofta - Light Meal
punjab dish,Misi roti
korean egg burger combo (m),Korean Mc Egg Burger Combo (M)
tandoori,Tandoori Paneer Craver (10cm)
classic banao,Classic Chicken Roll
Eggless Fresh Cream Pineapple Patry [1 Piece],Eggless Fresh Cream Pineapple Pastry [1 Piece]
protein],BBQ Grilled Chicken Boneless [64g Protein]
choco banao,Choco Lava Cake + Coke Combo @ Rs.79
luchi wala,Luchi
(regular) try karna hai,Fries (Regular)
any rice bowl any starter [free choco lava de...,Any Rice Bowl + Any Starter [FREE Choco Lava De...
spicy country,Country Feast
olives & hummus,Hummus & Olives Wrap
Keerai poriyal,Keerai poriyal
something like curry,Egg Curry Mini Rice Bowl
mangalore like something,Millet Mangalore Buns ( Jain )
5 mcspicy chicken bucket + 2 dips + 2 coke,5 McSpicy Fried Chicken Bucket + 2 Dips + 2 Coke
coca cola bottle ml),Coca Cola Bottle (475 mL)
chicken loaded tandoori,Tandoori Loaded Chicken Parcel
teekha shukto,Shukto
masala try karna hai,NH1 Special Aloo Palak Masala Rice Bowl
classic chicken masala rice bowl + 3 mini,Classic Chicken Masala Rice Bowl + 3 Mini Samosas
mxed chicken burger doubles,Mixed Chicken Zinger Burger Doubles
something chicken,All Chicken Box
pizza mushroom spinach cheese,Four Cheese Spinach Mushroom Pizza
dudhi mithai,Dudhi halwa
crispy veggie burger meal,Crispy Veggie Burger Meal (M)
puri spicy,Puri Bhaji
spicy chicken,Meal for 2: Pepper BBQ Chicken & Spiced Double Chicken
slider burger,Evolved Burger Slider
rabdi fruit,Dry Fruit Rabdi
Amritsari Lassi [200 ml],Amritsari Lassi [200 ml]
frappe try karna hai,Trioccino Frappe
mint milk chocolate chips ice (tub),Mint Milk Chocolate Chips Ice Cream (Tub)
cream,Gold Medal Ribbon Ice Cream
something bailley,Bailley One - Mineral Water [500 ml]
somehting like crunch,Lemon Ice Tea + Choco Crunch Cookie
something like kumol,Kumol Sawul
sides and dips,Pack of 4 Dips
choco crunch cookie + mcaloo tikki burger lemon ice tea,Choco Crunch Cookie + McAloo Tikki Burger + Lemon Ice Tea
nashta dosa,Masala Dosa
chicken tandoori biryani+ dessert+ 2 mini,Chicken Tandoori Biryani+ Dessert+ 2 Mini Samos...
veg. mccheese,McCheese Burger Veg.
classic try karna hai,Classic Onion Capsicum
bachelor - biryani veg,Veg Dum Biryani - Bachelor
(boneless) try karna hai,Chicken Biryani Bowl (Boneless)
cake delight lava,Choco Lava Delight Cake
chicken spicy,Chicken Platter for 2-Cream & Onion Dip
american spicy,American Roll & Popcorn Chicken Meal
vegetarian dosa,Masala Dosa
(regular) spicy,Fries (Regular)
spicy strawberry,Very Berry Strawberry Ice Cream
mississippi ice cream (small scoop),Mississippi Mud Ice Cream (Small Scoop)
Bottle Reusable Pepsi,Pepsi Reusable Bottle
red like something,Smoky Red Grilled Chicken - 2 pc
bowsl,2 Chicken Tandoori Biryani Bowls
spicy chocolate,Chocolate Almond Praline Ice Cream
something chicken,Spicy Baked Chicken Wings 6pc
hunan chicken,Hunan Chicken Bowl
roasted banao,Roasted Coffee Creme Ice Cream (Small Scoop)
pc mcspicy fried chicken bucket,5 Pc McSpicy Fried Chicken Bucket
chicken dry - miini,Hunan Chicken Dry - Mini
spicy kara,Kaara kozhambu
chocolate praline ice cream (tub),Chocolate Almond Praline Ice Cream (Tub)
veggie pizza,Deluxe Veggie Pizza
main coruse idea,Bisi bele bath
vegetarian rabri,Rabri
vegetarian raabali,Rasabali
sourdough something,100% Whole Wheat Sourdough (450g)
kuch chicken chahiye,Hunan Chicken Dry - Mini
kuch fries chahiye,Crispy Veggie Burger + Piri Piri Fries (M)
shawarma chicken classic,Classic Chicken Shawarma Bowl
tandoori,Tandoori Loaded Veg Taco (Single)
want to try chicken,Chicken Platter for 4-Peri Peri Dip
Veg Dum Biryani - Bachelor,Veg Dum Biryani - Bachelor
spicy pineapple,Fresh Cream Pineapple Cake (500gms)
teekha thepla,Thepla
biryani aloo dum,Dum Aloo Biryani Thali
patiala mughlai [paratha] bowl,Patiala Chicken Mughlai [Paratha] Bowl
parrty,Motu Patlu Kids Peri Peri Paneer Pizza Party
kuch meal chahiye,2 Pc Chicken Nuggets Happy Meal
caramel choco mousse,Salted Caramel Choco Mousse
bowl rice chicken guntur,Guntur Chicken Ghee Rice Bowl
something like tiramisu,Traditional Tiramisu
mascarpone something,Saffron Poach Pear With Mascarpone
want to try dum,Egg Dum Biryani - Bachelor
burst cheese cheese double,Double Cheese Margherita Cheese Burst
(singgle),Tandoori Loaded Veg Taco (Single)
mexican,Mexican Grilled Chicken & Cheese Burger + Fries (M).
spicy pepperoni,Chicken Pepperoni Thin n Crispy
mcmuffin like something,Sausage McMuffin - Sandwich
biryani dum egg,Egg Dum Biryani Bowl
nh1 dhaba egg curry [steamed bowl,NH1 Dhaba Egg Curry [Steamed Rice] Bowl
5 mcspicy fried chicken bucket + 2 dips + coke,5 McSpicy Fried Chicken Bucket + 2 Dips + 2 Coke
moroccan banao,Moroccan Mint Green Tea (R )
bread garlic stuffed,Classic Stuffed Garlic Bread
main course idea,Puli sadam
2 veggie burger + 2 fries (m) + veg pizza mcpuff,2 Crispy Veggie Burger  + 2 Fries (M) + Veg Pizza McPuff
sandwich) banao,Michel (Chicken & Mozza Sandwich)
ice try karna hai,Jello Mello Ice Cream (Tub)
masaledar razala,Chicken razala
Barbeque Chicken Mini Rice Bowl,Barbeque Chicken Mini Rice Bowl
ppocorn,Popcorn Chicken Rice Bowlz & Wings Meal
dal makhani mini bowl + butter paneer mini...,Dal Makhani Mini Rice Bowl + Butter Paneer Mini...
north east main course,Bengena Pitika
mcegg burger happy mela,McEgg Burger Happy Meal
kuch feast chahiye,Aloo Palak - Feast Thali
something paneer,Paneer Masala Rice Bowl + Gulab Jamun + 3 Mini ...
gulab jamun box (pack 10),Gulab Jamun Box (Pack of 10)
meetha butterscotch,Hop Scotch Butterscotch Ice Cream
sweet kuzhi,Kuzhi paniyaram
something protein],Chicken Peppy Salad [40g Protein]
lunch sadam,Puli sadam
mccrispy chicken burger plus (1 slice),McCrispy Chicken Burger Protein Plus (1 Slice)
chocolate almond praline ice (small scoop),Chocolate Almond Praline Ice Cream (Small Scoop)
snack idea,Lilva Kachori
Cosy Comfort White Sauce Chicken Pasta,Cosy Comfort White Sauce Chicken Pasta
masaledar tandoori,Tandoori Fish Tikka
spicy tandoori,Tandoori Loaded Chicken Taco
spicy kadhi,Kadhi pakoda
meetha chicken,Chicken Pulusu Rice Bowl
veggie burger + mexican cheesy fries,Crispy Veggie Burger +  Mexican Cheesy Fries
McAloo Tikki Burger,McAloo Tikki Burger
bread garlic popeye's,Popeye's Spinach Garlic Bread
spicy mcspicy,McSpicy Paneer Burger Protein Plus (2 Slices)
sandwich - egg spicy,Spicy Egg McMuffin - Sandwich
course main light,Kadhi pakoda
kuch schezwan chahiye,Spicy Schezwan Pasta Chicken
4 pc nuggets happy meal,4 Pc Chicken Nuggets Happy Meal
dinner pyaza,Mushroom do pyaza
food indian north,Rajma chaval
spicy kozhukattai,Kara Kozhukattai (2 Pcs)
(single) mexicana taco,Taco Mexicana Veg (Single)
roasted coffee creme ice (small scoop),Roasted Coffee Creme Ice Cream (Small Scoop)
Bowl [Paratha] Chole Amritsari,Amritsari Chole [Paratha] Bowl
Mixd Berry Smoothie,Mixed Berry Smoothie
b alphonsos from ratnagiri (300 ml),B Natural Alphonsos from Ratnagiri (300 ml)
something chicken,Singh Da Saag Chicken Paratha Bowl
muthiya snack,Muthiya
spicy platter,Dim Sum Platter
party for (non-veg) @rs. 85 off,Party for 2 (Non-Veg) @Rs. 85 off
makhani like something,Purani Dilli Paneer Makhani [Masala Rice] Bowl
something punjabi,Punjabi Chole - Light Meal
dinner rotlo,Bajri no rotlo
luxury gift basket,Luxury Gift Hamper Basket
crispy,Crispy Veggie Burger Protein Plus (2 Slices)
popcorn chicken boneless,Chicken Popcorn - Regular
chole mini bowl + rajma chawal mini bowl,Chole Chawal Mini Bowl + Rajma Chawal Mini Bowl
double chicken tangdi mughal,Double Chicken Tangdi Mughal Biryani
[paratha] like something,NH1 Dhaba Egg Curry [Paratha] Bowl
tandoori banao,Indian Tandoori Chicken Roll
coffee banao,Latte Coffee (R)
kuch non-veg chahiye,Andhra Non-veg Meals (For 1)
somehting chicken,Rice & Chicken Popcorn Delight Meal
mcaloo tikki double burger,McAloo Tikki Double Patty Burger
jar choco indulge,Indulge Choco Jar Dessert
dinner shukto,Shukto
boneless spicy,Herb Grilled Chicken Boneless [64g Protein]
mcaloo tikki burger protein plus (2,McAloo Tikki Burger Protein Plus (2 Slices)
something dhuadhaar,Dhuadhaar Chicken Wings [6 Pcs]
something like mcveggie,McVeggie Burger + Fries (M)
chicken something,Saag Wala Chicken - Feast Thali
unin appam,Unni Appam
of (pack jamun gulab,Gulab Jamun (Pack of 5)
chicken spicy,4 Pcs Chicken Nuggets
(protein-29g),Mughlai Chicken Kofta Rice Bowl with Omelette (Protein-29g)
sambar course main,Sambar
pind di makhani [steamed rice] bowl,Pind di Dal Makhani [Steamed Rice] Bowl
paneer spicy,Paneer Tikka Rice Bowl
farmhouse,Meal for 2: Veg Paradise & Farmhouse
mexican mcaloo with cheese,Mexican McAloo Tikki with Cheese
spicy hummus,Hummus & Pita with Olives
amaranth,Amaranth Parfait
classic try karna hai,Burger Pizza - Classic Non Veg
tikka masala,Chicken Tikka masala
want to try vietnamese,Vietnamese Style Iced Coffee
sandwich wala,Pesto Paneer & Cheese Sandwich [35g Protein]
meetha makkhai,Makkhai Badam Shorba ( Jain )
pizza veggie,Veggie Paradise Pizza
chicken wala,Lunch Box - Herbed Chicken Pesto Pasta
pcs] aloo tandoori classic,Classic Tandoori Aloo [10 Pcs]
want to try makhani,Dal Makhani - Feast Thali
papdi veg,Gud papdi
cheese garlic,Cheese Garlic Bread
spicy pepperoni,Classic Chicken Pepperoni & Onion
large something,French Fries - Large
schezwan like something,Schezwan Paneer Dry - Full
dum paneer hyderabadi half,Half Hyderabadi Paneer Dum Biryani
everyday - kofta veg,Veg Kofta - Everyday Thali
something strawberry,Very Berry Strawberry Ice Cream
mexican like something,Mexican Grilled Chicken Cheese Burger + Coke (M)
sundae spicy,Oreo Sundae ( M )
mini aloo samosa [pack of,Mini Aloo Samosa [Pack of 3]
nashta idiappam,Idiappam
brownie try karna hai,Choco Chip Brownie
mcsaver banao,McSaver Korean Mc Egg Burger.
chicken banao,Peri Peri Chicken Pizza
north style food,Petha
chicken spicy,Thai Spicy Chicken Roll
combo,Lazy BFF Rice combo
longer something,Veg Longer Burger - 2pc
kaadi,Kadai paneer
tadka like something,Dal tadka
meetha steamed,A1 Dhaba Palak Paneer Steamed Rice Bowl
veg mcmuffin protein plus meal,Veg McMuffin with protein plus Meal
masala spicy,Veg Mix Masala Curry
smoothie banao,Mixed Berry Smoothie
curries and breads,Whole Wheat Paratha ( 1 No)
north style food,Gajar ka halwa
shukto wala,Shukto
katli spicy,Kaju katli
floral spicy,Floral Potion
Rice Jeera Brown,Brown Jeera Rice
chocolate wala,Bavarian Chocolate Ice Cream
